Station ID,Provider,Location Name,Latitude,Longitude,Charging Speed,Available Chargers,Charging Types,Accessibility,Operating Hours
1058,EVNow,Rome Tiburtina,41.8975,12.5169,Fast,5,Type 2,Public,07:00 - 20:00
1059,Electra,Barcelona Passeig de Gracia,41.3964,2.1616,Supercharger,3,DC Fast Charge,Public,24/7
1060,VoltHub,Paris Montparnasse,48.8400,2.3220,Fast,4,Type 2,Restricted,06:00 - 22:00
1061,ChargeCo,Brussels Gare du Midi,50.8350,4.3410,Supercharger,2,DC Fast Charge,Public,24/7
1062,PowerGrid,Berlin Zoo Station,52.5076,13.3372,Fast,5,Type 1,Restricted,08:00 - 18:00
1063,EVNow,Stockholm Odenplan,59.3424,18.0500,Supercharger,4,DC Fast Charge,Public,06:00 - 22:00
1064,Electra,Madrid Chamartín,40.4634,-3.6867,Fast,2,Type 2,Public,24/7
1065,VoltHub,Vienna Westbahnhof,48.1894,16.3257,Supercharger,3,DC Fast Charge,Public,08:00 - 20:00
1066,ChargeCo,Zurich Stadelhofen,47.3715,8.5407,Fast,4,Type 2,Restricted,06:00 - 22:00
1067,PowerGrid,Helsinki Pasila,60.9205,24.9353,Supercharger,5,DC Fast Charge,Public,24/7
1068,EVNow,Oslo Majorstuen,59.9292,10.7247,Fast,3,Type 1,Restricted,07:00 - 19:00
1069,Electra,Budapest Nyugati,47.5189,19.0546,Supercharger,4,DC Fast Charge,Public,24/7
1070,VoltHub,London Victoria,51.4916,-0.1431,Fast,6,Type 2,Public,08:00 - 22:00
1071,ChargeCo,Tokyo Shibuya,35.6581,139.7017,Fast,4,Type 2,Public,24/7
1072,PowerGrid,Beijing Wangfujing,39.9153,116.4032,Supercharger,3,DC Fast Charge,Public,06:00 - 22:00
1073,EVNow,Seoul Station,37.5554,126.9707,Fast,5,Type 2,Public,07:00 - 19:00
1074,Electra,Shanghai People's Square,31.2304,121.4737,Supercharger,4,DC Fast Charge,Public,24/7
1075,VoltHub,Delhi Connaught Place,28.6358,77.2249,Fast,6,Type 2,Restricted,06:00 - 22:00
1076,ChargeCo,Singapore Marina Bay,1.2833,103.8600,Supercharger,3,DC Fast Charge,Public,24/7
1077,PowerGrid,Bangkok Siam Square,13.7464,100.5348,Fast,4,Type 2,Public,08:00 - 20:00
1078,EVNow,Manila Bonifacio High Street,14.5567,121.0437,Supercharger,2,DC Fast Charge,Public,24/7
1079,Electra,Jakarta Sudirman,6.2088,106.8456,Fast,5,Type 1,Restricted,07:00 - 19:00
1080,VoltHub,Hong Kong Kowloon,22.3193,114.1694,Supercharger,4,DC Fast Charge,Public,06:00 - 22:00
1081,ChargeCo,Tokyo Ueno,35.7116,139.7770,Fast,6,Type 2,Public,24/7
1082,PowerGrid,Seoul Gangnam,37.4979,127.0276,Supercharger,3,DC Fast Charge,Public,08:00 - 20:00
1083,EVNow,Beijing Tiananmen Square,39.9026,116.3972,Fast,5,Type 2,Restricted,06:00 - 22:00
1084,Electra,Kyoto Station,35.0116,135.7681,Supercharger,4,DC Fast Charge,Public,24/7
1085,VoltHub,Ho Chi Minh City Ben Thanh,10.7626,106.6959,Fast,3,Type 1,Restricted,08:00 - 20:00
1086,ChargeCo,Bangkok Chatuchak,13.8228,100.5532,Supercharger,5,DC Fast Charge,Public,24/7
1087,PowerGrid,Jakarta Kuningan,6.2233,106.8204,Fast,4,Type 2,Public,06:00 - 22:00
1088,EVNow,Manila Makati,14.5547,121.0244,Supercharger,2,DC Fast Charge,Public,24/7
1089,Electra,Shanghai Nanjing Road,31.2333,121.4769,Fast,6,Type 2,Restricted,08:00 - 20:00
1090,VoltHub,Hanoi Hoan Kiem,21.0285,105.8542,Supercharger,3,DC Fast Charge,Public,24/7
1091,ChargeCo,Mumbai Nariman Point,18.9250,72.8180,Fast,4,Type 2,Public,06:00 - 20:00
1092,PowerGrid,Seoul Incheon Airport,37.4656,126.4500,Supercharger,5,DC Fast Charge,Public,24/7
1093,EVNow,Bangkok Suvarnabhumi,13.6892,100.7503,Fast,3,Type 2,Public,07:00 - 19:00
1094,Electra,Singapore Orchard Road,1.3016,103.8304,Supercharger,4,DC Fast Charge,Public,24/7
1095,VoltHub,Delhi Indira Gandhi Airport,28.5562,77.0993,Fast,6,Type 2,Restricted,06:00 - 22:00
1096,ChargeCo,Tokyo Akihabara,35.6996,139.7745,Supercharger,2,DC Fast Charge,Public,08:00 - 20:00
1097,PowerGrid,Manila Quezon City,14.6481,121.0324,Fast,5,Type 2,Public,06:00 - 22:00
1098,EVNow,Seoul Seoul Station,37.5550,126.9701,Supercharger,3,DC Fast Charge,Public,24/7
1099,Electra,Bangkok Don Mueang,13.9131,100.6032,Fast,4,Type 2,Restricted,07:00 - 19:00
1100,VoltHub,Shanghai Hongqiao,31.1944,121.3361,Supercharger,5,DC Fast Charge,Public,24/7
1101,ChargeCo,Cairo Tahrir Square,30.0444,31.2357,Fast,4,Type 2,Public,24/7
1102,PowerGrid,Lagos Lekki,6.5244,3.4200,Supercharger,3,DC Fast Charge,Public,06:00 - 22:00
1103,EVNow,Nairobi Westlands,1.2835,36.8165,Fast,5,Type 2,Restricted,07:00 - 19:00
1104,Electra,Johannesburg Sandton,26.1063,28.0341,Supercharger,4,DC Fast Charge,Public,24/7
1105,VoltHub,Durban Gateway,29.8587,31.0218,Fast,3,Type 2,Public,06:00 - 20:00
1106,ChargeCo,Accra Osu,5.5600,-0.2050,Supercharger,2,DC Fast Charge,Public,24/7
1107,PowerGrid,Addis Ababa Bole,9.0320,38.7461,Fast,4,Type 2,Public,08:00 - 20:00
1108,EVNow,Cape Town Waterfront,33.9072,18.4232,Supercharger,5,DC Fast Charge,Public,24/7
1109,Electra,Abuja Central,9.0575,7.4951,Fast,3,Type 2,Restricted,06:00 - 22:00
1110,VoltHub,Johannesburg Rosebank,26.1340,28.0311,Supercharger,6,DC Fast Charge,Public,24/7
1111,ChargeCo,Lagos Victoria Island,6.4281,3.4214,Fast,4,Type 2,Public,07:00 - 19:00
1112,PowerGrid,Accra Kotoka Airport,5.6052,-0.1659,Supercharger,3,DC Fast Charge,Public,24/7
1113,EVNow,Nairobi Nairobi CBD,1.2867,36.8172,Fast,5,Type 2,Public,06:00 - 22:00
1114,Electra,Cairo Airport,30.1217,31.4050,Supercharger,4,DC Fast Charge,Public,24/7
1115,VoltHub,Dar es Salaam Mbezi,6.6931,39.2741,Fast,3,Type 2,Restricted,08:00 - 18:00
1116,ChargeCo,Accra Tema,5.5897,-0.0351,Supercharger,2,DC Fast Charge,Public,06:00 - 22:00
1117,PowerGrid,Lusaka,15.3875,28.3223,Fast,4,Type 2,Public,24/7
1118,EVNow,Johannesburg Midrand,25.9923,28.1366,Supercharger,3,DC Fast Charge,Public,06:00 - 22:00
1119,Electra,Cape Town Stellenbosch,33.9313,18.8606,Fast,5,Type 2,Restricted,07:00 - 19:00
1120,VoltHub,Nairobi Jomo Kenyatta,1.3192,36.9273,Supercharger,4,DC Fast Charge,Public,24/7
1121,ChargeCo,Abuja Wuse,9.0582,7.4953,Fast,6,Type 2,Public,08:00 - 20:00
1122,PowerGrid,Harare,17.8292,31.0522,Supercharger,3,DC Fast Charge,Public,06:00 - 22:00
1123,EVNow,Lusaka Airport,15.3306,28.4523,Fast,4,Type 2,Public,07:00 - 19:00
1124,Electra,Durban Umhlanga,29.7406,31.0753,Supercharger,2,DC Fast Charge,Public,24/7
1125,VoltHub,Windhoek,22.5597,17.0832,Fast,5,Type 2,Restricted,08:00 - 20:00
1126,ChargeCo,Cape Town CBD,33.9249,18.4232,Supercharger,3,DC Fast Charge,Public,24/7
1127,PowerGrid,Johannesburg Eastgate,26.1890,28.0671,Fast,6,Type 2,Public,08:00 - 22:00
1128,EVNow,Addis Ababa,9.0246,38.7469,Supercharger,4,DC Fast Charge,Public,24/7
1129,Electra,Lagos Ikeja,6.5956,3.3518,Fast,3,Type 1,Restricted,06:00 - 22:00
1130,VoltHub,Port Louis,20.1605,57.5045,Supercharger,5,DC Fast Charge,Public,24/7
1131,ChargeCo,Nairobi Kenyatta University,1.1449,36.9056,Fast,4,Type 2,Restricted,07:00 - 20:00
1132,PowerGrid,Cape Town Green Point,33.9144,18.4201,Supercharger,2,DC Fast Charge,Public,06:00 - 22:00
1133,EVNow,Durban Central,29.8587,31.0218,Fast,4,Type 2,Public,08:00 - 20:00
1134,Electra,Kinshasa,4.4419,15.2663,Supercharger,3,DC Fast Charge,Public,24/7
1135,VoltHub,Cairo Maadi,29.9719,31.2517,Fast,6,Type 2,Restricted,06:00 - 22:00
1136,ChargeCo,Maputo,25.9653,32.5892,Supercharger,4,DC Fast Charge,Public,24/7
1137,PowerGrid,Abidjan,5.3597,-4.0311,Fast,3,Type 2,Restricted,07:00 - 19:00
1138,EVNow,Accra Labone,5.5610,-0.2063,Supercharger,5,DC Fast Charge,Public,24/7
1139,Electra,Addis Ababa Bole,9.0358,38.7475,Fast,4,Type 1,Public,06:00 - 22:00
1140,VoltHub,Kinshasa Gombe,4.3151,15.3073,Supercharger,2,DC Fast Charge,Public,24/7
1141,ChargeCo,Sao Paulo Avenida Paulista,-23.5616,-46.6553,Fast,4,Type 2,Public,24/7
1142,PowerGrid,Buenos Aires Retiro,-34.6037,-58.3816,Supercharger,3,DC Fast Charge,Public,06:00 - 22:00
1143,EVNow,Rio de Janeiro Copacabana,-22.9714,-43.1822,Fast,5,Type 2,Restricted,07:00 - 19:00
1144,Electra,Lima Miraflores,-12.1215,-77.0282,Supercharger,4,DC Fast Charge,Public,24/7
1145,VoltHub,Santiago Parque Arauco,-33.4375,-70.6483,Fast,3,Type 2,Public,06:00 - 22:00
1146,ChargeCo,Montevideo Pocitos,-34.9063,-56.1871,Supercharger,2,DC Fast Charge,Public,24/7
1147,PowerGrid,Caracas Altamira,10.4993,-66.8808,Fast,4,Type 2,Public,08:00 - 20:00
1148,EVNow,Bogotá Zona T,4.6097,-74.0745,Supercharger,5,DC Fast Charge,Public,24/7
1149,Electra,Asunción Centro,-25.2637,-57.5759,Fast,3,Type 2,Restricted,07:00 - 19:00
1150,VoltHub,Guayaquil Malecón,2.1896,-79.8893,Supercharger,4,DC Fast Charge,Public,24/7
